SKU,Inventory Quantity (Northwood),Inventory Quantity (Eastgate Mall),Inventory Quantity (Manukau),Inventory Quantity (Porirua),Inventory Quantity (Manners Street),Inventory Quantity (George Street),Inventory Quantity (Papanui),Inventory Quantity (Shirley),Inventory Quantity (Tower Junction),Inventory Quantity (Hornby),Inventory Quantity (Pakuranga),Inventory Quantity (New Plymouth Central),Inventory Quantity (Upper Hutt Central),Inventory Quantity (Whangaparaoa),Inventory Quantity (Westgate),Inventory Quantity (Pukekohe),Inventory Quantity (Te Awamutu),Inventory Quantity (Pine Hill),Inventory Quantity (Rolleston),Inventory Quantity (Rangiora),Inventory Quantity (Mount Roskill),Inventory Quantity (Whanganui),Inventory Quantity (Mt Wellington),Inventory Quantity (South Dunedin),Inventory Quantity (Lyall Bay),Inventory Quantity (South Island Dark Store),Inventory Quantity (Petone),Inventory Quantity (West City)
"=""704504""",36,10,4,15,6,8,20,24,16,21,2,5,43,16,10,6,17,2,6,17,5,1,1,7,9,0,6,5
"=""2564742""",14,8,11,11,0,9,5,9,9,17,14,9,15,13,15,5,7,12,6,7,23,13,2,7,5,7,6,15
"=""2564815""",55,19,5,5,5,20,13,27,14,19,23,13,2,7,51,4,6,12,10,10,10,10,14,26,13,32,11,3
"=""2552914""",20,0,5,9,0,10,9,8,1,2,11,11,1,3,8,5,5,0,3,2,12,8,4,7,0,1,0,9
"=""2552892""",63,4,5,12,3,13,12,26,23,7,10,11,2,6,11,3,2,11,7,12,12,10,4,6,11,4,5,0
"=""2564831""",23,2,12,11,10,11,10,5,1,4,12,0,9,12,11,12,1,9,12,4,11,7,10,0,0,0,0,12
"=""2552965""",21,0,13,13,2,0,16,6,1,1,0,1,0,2,0,1,7,20,0,0,16,7,0,0,5,5,1,15
"=""2552841""",20,7,26,7,27,13,7,20,20,25,25,15,16,30,10,18,14,25,9,3,10,19,21,18,22,2,0,21
"=""2564769""",14,6,11,1,4,6,15,6,11,6,10,13,18,4,8,7,12,11,7,5,7,10,6,5,10,11,8,12
"=""2552906""",80,3,12,5,11,6,9,7,9,5,0,18,8,17,1,6,9,9,5,8,18,10,7,12,7,8,5,12
"=""2552884""",20,5,9,11,10,6,7,14,5,9,12,5,7,5,6,4,5,10,3,6,10,3,13,14,9,14,0,12
"=""2552876""",21,12,2,6,4,9,12,7,5,7,3,5,5,14,4,8,4,0,4,13,7,19,5,14,9,9,12,7
"=""2552922""",21,7,10,13,9,12,7,5,0,1,12,3,14,8,20,8,8,17,6,8,9,15,9,2,10,4,19,12
"=""2564777""",7,6,10,0,5,4,11,18,23,14,8,4,10,20,3,12,4,12,0,11,2,7,1,2,1,6,8,0
"=""2564793""",4,25,4,10,4,5,7,18,2,11,3,0,9,3,16,6,4,1,28,4,4,10,8,2,1,11,1,4
"=""2564807""",23,4,12,9,5,2,12,15,19,4,11,12,9,9,23,8,3,10,11,3,11,8,28,6,0,0,8,0
"=""2564785""",83,12,24,12,6,9,4,30,2,1,11,2,11,9,25,10,9,8,8,4,11,11,9,1,2,26,0,0
"=""2564750""",9,12,8,6,6,11,9,7,11,10,9,3,7,17,18,10,12,7,11,4,22,8,12,20,5,7,5,9
"=""2552949""",115,5,23,18,3,7,10,14,11,2,0,23,18,2,11,0,13,6,12,9,0,19,0,10,0,0,0,12
"=""2574411""",16,22,8,4,6,9,11,11,1,1,12,16,15,8,23,4,5,4,8,7,8,18,12,5,11,21,10,0
"=""2552957""",18,8,12,22,19,14,6,13,22,9,10,9,0,5,11,3,16,9,11,7,12,7,3,12,8,8,15,8
"=""2552930""",18,5,7,2,8,7,14,13,12,14,9,2,12,3,9,4,5,9,5,1,0,2,11,2,12,9,3,8
"=""2574438""",15,11,7,10,7,10,0,6,10,10,1,2,8,8,5,7,11,10,2,10,13,11,7,8,10,10,6,8
"=""2552868""",16,7,11,22,12,10,10,7,20,11,0,22,12,12,17,18,10,11,9,2,24,15,11,0,0,0,0,0
"=""2564858""",12,16,1,5,0,5,7,9,7,0,0,2,0,5,0,2,6,0,6,0,4,6,0,4,0,11,6,12
"=""915394""",13,12,2,6,7,3,14,10,3,9,7,15,20,10,5,4,12,3,4,5,2,0,8,8,4,0,5,2
"=""2462516""",6,4,2,4,5,4,12,14,7,7,5,5,15,4,2,3,3,2,9,8,1,0,6,8,5,4,12,4
"=""2540126""",3,1,2,8,9,5,6,10,4,3,5,4,6,5,9,2,3,2,8,2,1,5,8,2,4,6,3,8
"=""267201""",8,4,2,12,-1,5,6,14,2,9,1,3,16,1,8,0,8,1,3,8,1,0,5,6,7,7,1,3
"=""2451549""",19,15,4,3,13,9,10,9,8,10,4,12,30,23,2,8,9,2,7,14,4,0,7,1,4,2,4,6
"=""436372""",9,17,14,7,8,11,16,6,5,8,6,21,16,7,5,5,14,3,2,11,5,5,8,8,6,13,12,2
"=""2347385""",15,22,8,18,20,15,16,22,10,20,12,23,34,18,10,11,15,12,7,16,16,0,9,11,9,7,6,8
"=""2375745""",9,25,8,17,10,9,16,13,9,9,5,2,16,14,23,10,26,5,0,15,0,0,5,10,7,8,14,2
"=""275158""",12,0,3,2,4,3,6,3,2,3,2,7,10,1,1,3,5,1,7,0,2,6,4,6,0,4,14,3
"=""949841""",0,0,0,1,3,2,0,8,0,0,0,1,4,0,7,0,0,0,0,0,2,0,0,3,0,0,0,0
"=""224553""",8,5,4,5,3,1,8,9,9,5,5,13,18,2,1,4,6,3,7,10,1,0,4,3,1,8,7,5
"=""952125""",15,13,13,16,14,11,12,11,9,13,9,19,26,11,9,8,9,10,8,15,12,3,12,8,8,9,6,8
"=""379514""",12,23,22,17,15,11,17,14,12,11,24,17,10,21,6,17,25,1,13,5,9,0,21,13,12,0,8,6
"=""2057212""",36,20,10,9,23,30,18,17,18,22,7,5,20,25,26,0,17,7,1,26,9,6,6,3,3,16,15,1
